"","Site","Triplicate","Layer","Al","As","Cd","Co","Cr","Cu","Fe","Mn","Ni","Pb","S","Zn","Acidity1","Acidity","Treatment"
"48","S14","C","1 No",26.5660872417186,0.00846179075106592,0.015742866513611,0.344375204985241,0.0206625122991145,0.167267956707117,6.98589701541489,24.5982289275172,1.2791079042309,0.0275500163988193,1082.32207281076,0.954411282387668,NA,NA,"Non-incubated"
"49","S15","A","1 No",27.9273887891482,0.0209455415918612,0.0239377618192699,0.119688809096349,0.0458807101536006,0.299222022740874,36.9040494713744,7.48055056852184,0.997406742469579,0.018950728106922,578.495910632356,1.29662876521045,137.024812754892,210.386874667422,"Non-incubated"
"50","S15","B","1 No",10.9656409915598,0.0169468997142288,0.00777563633946966,0.0338937994284575,0.0388781816973483,0.36884428789792,13.9562703528943,2.4921911344454,0.229281584368977,0.00548282049577989,368.84428789792,0.319000465209012,94.6722279453541,178.535758386117,"Non-incubated"
"51","S15","C","1 No",13.8111764289256,0.0116863800552447,0.00871166513209151,0.0350591401657341,0.0456831220341384,0.276223528578511,25.4975564841703,1.91231673631277,0.339967419788937,0.0116863800552447,424.959274736171,0.37183936539415,146.91953992033,264.767766622381,"Non-incubated"
"52","S16","A","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.043040150336,603.158605754711,"Non-incubated"
"53","S16","B","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.785922259781,860.683144973335,"Non-incubated"
"54","S16","C","1 No",707.17653221582,0.314300680984809,0.202050437775948,2.46950535059493,0.145925316171518,0.0258175559380379,864.326872708224,42.6550924193669,5.27576143081643,0.0628601361969617,3255.25705305695,24.6950535059493,390.143182891303,594.368698452471,"Non-incubated"
"55","S17","A","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.056448624402,467.097205915084,"Non-incubated"
"56","S17","B","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.754962767035,436.171139471967,"Non-incubated"
"57","S17","C","1 No",65.6919552620941,0.0202129093114136,0.0404258186228271,0.121277455868481,0.0404258186228271,0.171809729147015,100.053901091497,6.16493733998113,1.71809729147015,0.0252661366392669,1111.71001212775,1.71809729147015,NA,NA,"Non-incubated"
"58","S18","A","1 No",12.9637016354208,0.0025,0.0139609094535301,0.319106501794974,0.00857598723573993,0.309134423613881,14.9581172716394,5.48464299960112,2.09413641802952,0.001,408.85520542481,2.29357798165138,51.8287878770335,70.3868377297777,"Non-incubated"
"59","S18","B","1 No",8.80733944954128,0.0055045871559633,0.00540450375312761,0.0770642201834862,0.0300250208507089,0.210175145954962,6.10508757297748,1.90158465387823,1.20100083402836,0.0028023352793995,230.191826522102,0.620517097581318,69.0924506895349,90.5853791613609,"Non-incubated"
"60","S18","C","1 No",86.7253696627347,0.0025,0.0338926732015285,0.67785346403057,0.0279116132247882,1.29589632829374,62.8011297557734,6.67885030736003,2.19305532480479,0.001,528.326964612062,4.38611064960957,60.494203661483,78.3657441332681,"Non-incubated"
"61","S19","A","1 No",14.4121061691821,0.0252211857960687,0.00264221946435005,0.0252211857960687,0.0288242123383642,0.22819168101205,13.2110973217503,1.18899875895752,0.192161415589095,0.0103286760879138,240.201769486369,0.288242123383642,136.735107948998,266.087803966478,"Non-incubated"
"62","S19","B","1 No",20.5324755321333,0.0195058517555267,0.00913695161179933,0.0882896447881733,0.0225857230853467,0.1231948531928,26.6922181917733,5.235781260694,0.3695845595784,0.0143727328724933,574.909314899733,1.231948531928,161.712354008418,281.683570486458,"Non-incubated"
"63","S19","C","1 No",111.182237795223,0.0181934570937637,0.0262794380243253,0.242579427916849,0.0353761665712072,0.141504666284829,87.9350426198578,14.1504666284829,1.61719618611233,0.0414406522691284,1111.82237795223,2.52686904080051,185.402879529774,288.785424018638,"Non-incubated"
"64","S20","A","1 No",562.717413546143,0.0143237159811745,0.235318191119296,0.603642316349499,0.163699611213423,1.33005934110906,399.017802332719,32.7399222426847,5.9341109064866,0.0920810313075506,4501.73930836914,7.26417024759566,90.9647122128231,151.238315622603,"Non-incubated"
"65","S21","A","1 No",1589.29872193894,0.0025,0.446990265545328,4.27124031521091,0.675451956824051,0.99331170121184,1787.96106218131,109.264287133302,6.45652605787696,0.0506588967618038,5761.20786702867,18.872922323025,523.044953488143,743.187607808349,"Non-incubated"
"66","S21","B","1 No",302.358395484781,0.0025,0.0493852045958476,1.0078613182826,0.171336424108043,0.211650876839347,483.77343277565,30.2358395484781,2.31808103204999,0.0141100584559565,1713.36424108043,4.3338036686152,345.42646763842,527.923523433393,"Non-incubated"
"67","S21","C","1 No",1206.84610883558,0.767992978349912,0.230397893504974,3.4011117612639,0.405939145699239,0.54856641310708,987.419543592744,85.5763604447045,5.59537741369222,0.0625365710942071,4827.38443534231,10.9713282621416,494.758440001177,713.781939132133,"Non-incubated"
"68","S22","A","1 No",19.0139435586096,0.00510374274467943,0.0070051371005404,0.0890653145640136,0.0190139435586096,0.0390286209887251,24.0176129161385,4.10300887317366,0.2601908065915,0.00380278871172193,280.205484021616,0.490359597037828,149.694156109732,235.050630846496,"Non-incubated"
"69","S22","B","1 No",659.604237457526,0.0119928043174096,0.219868079152508,1.99880071956826,0.109934039576254,0.359784129522287,269.838097141715,32.9802118728763,3.59784129522287,0.0719568259044573,2898.26104337398,11.9928043174096,219.509177137442,286.759640070468,"Non-incubated"
"70","S22","C","1 No",606.663351566385,0.0288413724515167,0.119343610144207,4.47538538040776,0.129288910989557,0.0556936847339632,556.936847339632,66.6335156638488,2.88413724515167,0.0397812033814023,2884.13724515167,12.9288910989557,265.152256345131,357.167676191973,"Non-incubated"
"71","S01","C","2 No",201.972599050729,0.868482175918134,0.0626115057057259,6.56410946914869,0.100986299525364,0.0575621907294577,1514.79449288047,14.138081933551,11.1084929477901,0.0181775339145656,1817.75339145656,6.66509576867405,124.384222540534,289.693092977259,"Non-incubated"
"72","S02","A","2 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.762215870025,237.24073756329,"Non-incubated"
"73","S03","A","2 No",9.73488658857124,0.0905344452737125,0.0301781484245708,0.876139792971412,0.0165493072005711,0.38939546354285,20.4432618359996,14.6023298828569,1.84962845182854,0.00973488658857124,214.167504948567,1.84962845182854,56.3288635145649,86.5266720653839,"Non-incubated"
"74","S04","A","2 No",27.8348465769766,0.0278348465769766,0.0606402014712705,0.99410166346345,0.019882033269269,0.119292199615614,67.5989131155146,10.935118298098,2.28643382596594,0.00954337596924912,308.17151567367,2.98230499039035,98.6416664925755,155.099494675762,"Non-incubated"
"75","S05","A","2 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-incubated"
"76","S06","A","2 No",5.95578586089707,0.0444160301490629,0.0131229179985868,0.787375079915206,0.00969077021434099,0.0373498435344392,12.1134627679262,14.1323732292473,1.11040075372657,0.00333120226117972,232.17470305192,1.11040075372657,32.9872525346902,51.8116383440617,"Non-incubated"
"77","S06","A","2 No",8.19890681242501,0.039994667377683,0.0109985335288628,0.839888014931342,0.013998133582189,0.0629916011198507,12.998266897747,14.9980002666311,1.19984002133049,0.00359952006399147,229.969337421677,1.19984002133049,32.9872525346902,51.8116383440617,"Non-incubated"
"78","S07","A","2 No",3.07285643482571,0.0475797125392367,0.00138774161572774,0.307285643482571,0.00882207169998348,0.070378324797621,39.649760449364,7.43433008425574,0.644308607302164,0.00644308607302164,406.41004460598,0.624483727077482,11.5026073389816,29.8713084860338,"Non-incubated"
"79","S08","A","2 No",14.9233932479936,0.497446441599788,0.00567088943423758,0.477548583935796,0.0238774291967898,0.0965046096703588,37.8059295615839,4.37752868607813,1.19387145983949,0.0169131790143928,427.803939775817,1.29336074815945,51.1259746970789,89.5484868168006,"Non-incubated"
"80","S09","A","2 No",2.69228212457621,0.00707970484610782,0.00648141992953533,0.309113873562454,0.0025,0.0408828026324536,11.9656983314498,4.18799441600745,0.99714152762082,0.001,189.456890247956,0.897427374858738,20.0643742055203,31.5427449201426,"Non-incubated"
"81","S10","A","2 No",10.7418378307998,0.0810520490869438,0.00771459262393802,0.644510269847987,0.0214836756615996,0.126948992545816,38.0846977637447,14.6479606783633,1.36714299664724,0.0214836756615996,341.785749161811,1.17183685426907,58.5923710434018,101.53053370636,"Non-incubated"
"82","S10","A","2 No",12.8874496067676,0.078316039918049,0.00733593285308307,0.574978520917322,0.0188355032714295,0.138787918842112,42.6277179300773,14.8701341616549,1.28874496067676,0.0208181878263168,337.056374330844,1.18961073293239,58.5923710434018,101.53053370636,"Non-incubated"
"83","S11","A","2 No",4.08838703397255,0.0204419351698627,0.010707680327071,0.253090625912586,0.0081767740679451,0.10707680327071,5.06181251825173,19.4685096855836,0.564586780881923,0.00613258055095882,457.509977611214,0.447775722768422,58.0859319096632,94.0582078593652,"Non-incubated"
"84","S12","A","2 No",2.46054919458023,0.0600374003477576,0.00383845674354516,0.265739313014665,0.0127948558118172,0.0649584987369181,1.96843935566418,9.84219677832092,0.374003477576195,0.00541320822807651,639.74279059086,0.551163019585972,26.5141258277228,51.7600565379905,"Non-incubated"
"85","S13","A","2 No",1.66465384992003,0.0195841629402357,0.00156673303521885,0.0881287332310605,0.0107712896171296,0.0411267421744949,1.66465384992003,15.6673303521885,0.146881222051767,0.001,381.891177334595,0.244802036752946,23.6435905828417,49.6991847389959,"Non-incubated"
"86","S14","A","2 No",1.09967009897031,0.0319904028791363,0.00599820053983805,0.189943017094872,0.0109967009897031,0.0999700089973008,1.09967009897031,19.9940017994602,0.439868039588123,0.00339898030590823,839.748075577327,0.179946016195141,29.9999261973239,62.8058156409646,"Non-incubated"
"87","S15","A","2 No",9.96446009233733,0.189324741754409,0.0044840070415518,0.0687547746371276,0.0548045305078553,0.338791643139469,29.893380277012,4.88258544524529,0.368685023416481,0.00817085727571661,558.009765170891,0.587903145447902,80.7642213787452,171.896122010218,"Non-incubated"
"88","S16","A","2 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-incubated"
"89","S18","A","2 No",1.58672440580477,0.0025,0.00168589468116756,0.0783445175366104,0.0025,0.0317344881160953,2.97510826088394,2.67759743479554,0.436349211596311,0.001,406.598128987471,0.0723943010148425,NA,NA,"Non-incubated"
"90","S19","A","2 No",7.96178343949045,0.0995222929936306,5e-04,0.0378184713375796,0.0199044585987261,0.048765923566879,7.96178343949045,15.9235668789809,0.189092356687898,0.00238853503184713,865.843949044586,0.417993630573248,60.7381422901688,136.860616673571,"Non-incubated"
"91","S21","A","2 No",7.36352094794752,0.0558611933982226,5e-04,0.126957257723233,0.0139652983495556,0.00634786288616166,6.22090562843842,20.3131612357173,0.110452814219213,0.001,825.222175201015,0.558611933982226,103.799762956037,213.38835884616,"Non-incubated"
"92","S22","A","2 No",12.2877217303633,0.0557673524685718,0.00538769337408236,0.567125618324459,0.0141781404581115,0.0226850247329784,27.4110715523488,13.2329310942374,0.831784240209206,0.00245754434607265,396.987932827121,1.70137685497338,65.4575194251652,99.3762136566899,"Non-incubated"
"93","S01","C","2 Yes",3288.38105361058,1.19577492858566,0.229190194645586,12.9542283930114,3.1887331428951,11.9577492858566,6776.0579286521,28.8978941074869,18.9331030359397,0.001,14947.1866073208,24.911977678868,706.611132919559,834.679113162955,"Incubated"
"94","S02","C","2 Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incubated"
"95","S03","A","2 Yes",948.608707229397,0.0129809612568233,0.149780322194115,6.29077353215284,0.669018772467048,7.08960191718812,339.502063639995,99.8535481294102,14.9780322194115,0.0149780322194115,3395.02063639995,30.9545999201172,183.859687775924,219.986435432138,"Incubated"
"96","S04","A","2 Yes",2183.98411647915,0.178689609530113,0.13898080741231,6.94904037061549,1.58835208471211,5.95632031767042,2779.61614824619,377.233620119126,12.9053606882859,0.0198544010589014,7842.48841826605,39.7088021178028,406.423807460983,486.133186609886,"Incubated"
"97","S05","C","2 Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incubated"
"98","S06","A","2 Yes",1596.59393294305,0.349254922831293,0.0848190526875998,5.48829164449175,1.39701969132517,8.48190526875998,3193.18786588611,329.297498669505,9.87892496008515,0.00399148483235764,7184.67269824375,31.9318786588611,313.69787765437,386.938296316203,"Incubated"
"99","S07","A","2 Yes",390.892211472686,0.013681227401544,0.0371347600899052,1.85673800449526,0.214990716309978,3.42030685038601,46.9070653767224,32.2486074464966,5.27704485488127,0.00977230528681716,1563.56884589075,11.7267663441806,81.3844864531976,105.332324788195,"Incubated"
"100","S08","A","2 Yes",1604.06362785724,0.150380965111616,0.130330169763401,3.50888918593771,1.30330169763401,11.0279374415185,2406.09544178586,59.1498462772357,11.0279374415185,0.0190482555808047,7819.81018580404,29.0736532549124,325.621609434277,406.850427405951,"Incubated"
"101","S09","A","2 Yes",366.65125189932,0.0118913919534914,0.0465746184845082,1.48642399418643,0.218008852480676,2.67556318953558,41.6198718372201,23.7827839069829,4.16198718372201,0.00267556318953558,1387.32906124067,10.9004426240338,64.1027802458307,81.1435587161697,"Incubated"
"102","S10","A","2 Yes",801.148312581367,0.0150215308609006,0.0530760757085155,2.80401909403478,0.210301432052609,1.7024401642354,70.1004773508696,120.172246887205,8.41205728210435,0.0911306205561304,2804.01909403478,16.0229662516273,205.040633383241,250.368939344055,"Incubated"
"103","S11","A","2 Yes",148.563882469462,0.0025,0.0425883129745791,1.68372400132057,0.0227797953119841,1.18851105975569,13.8659623638164,67.3489600528227,4.45691647408386,0.054473423572136,1782.76658963354,3.36744800264114,117.199638316625,168.233753123512,"Incubated"
"104","S12","A","2 Yes",691.475146980225,0.481026189203634,0.110235168359166,3.60769641902726,0.230491715660075,3.60769641902726,110.235168359166,87.1859967931588,8.01710315339391,0.0280598610368787,4710.04810261892,18.0384820951363,231.620999885818,273.281765949539,"Incubated"
"105","S13","A","2 Yes",886.248215886082,0.408271650014937,0.0856374680519136,2.58903973180204,0.268861818302519,1.69283367079364,57.7555017094301,179.24121220168,5.07850101238092,0.001,4182.29495137252,10.9536296345471,160.053707481606,200.259599127719,"Incubated"
"106","S14","A","2 Yes",386.700158646219,0.0025,0.0862638815441565,2.87546271813855,0.128900052882073,2.08223162347964,53.5430988894765,138.815441565309,7.63484928609201,0.0604838709677419,3767.84769962983,9.02300370174511,192.989076437484,239.519062384302,"Incubated"
"107","S15","A","2 Yes",222.332015810277,0.0103754940711462,0.118577075098814,0.605237154150198,0.0592885375494071,0.728754940711462,10.3754940711462,32.1146245059289,3.45849802371542,0.0691699604743083,2840.90909090909,7.41106719367589,152.31449234298,273.463962443137,"Incubated"
"108","S16","C","2 Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1416.27847599406,1557.14353368676,"Incubated"
"109","S18","A","2 Yes",0.25,0.0025,5e-04,0.00229869740480394,0.0025,0.0339807442449279,0.125,0.0919478961921578,0.0299830096278775,0.001,389.779125162408,0.01,NA,NA,"Incubated"
"110","S19","A","2 Yes",1854.52297547909,1.13744075829384,0.173088811044715,2.10179270554296,0.321450649083041,2.71996703070266,445.08551411498,271.996703070266,7.78899649701216,0.395631568102205,10138.058932619,23.4906243560684,583.094298098365,806.460860473539,"Incubated"
